raw/gen/time/time_elapsed,raw/gen/time/fps,raw/gen/time/total_timesteps,raw/gen/time/iterations,raw/gen/train/loss,raw/gen/train/n_updates,raw/gen/train/learning_rate,raw/gen/train/value_loss,raw/gen/rollout/ep_rew_wrapped_mean,raw/gen/train/policy_gradient_loss,raw/gen/train/approx_kl,raw/gen/train/clip_fraction,raw/gen/train/explained_variance,raw/gen/train/entropy_loss,raw/gen/train/clip_range
2,1528,4096,1,,,,,,,,,,,
19,415,8192,2,-0.04871247336268425,10,9.125000000000001e-05,0.004659576108679175,0.23382440853310982,-0.0002848734089639038,5.4078497e-05,0.0,-1.5751047134399414,-1.609417399764061,0.1
36,339,12288,3,-0.053101424127817154,20,8.25e-05,0.002782274706987664,0.2279021992534399,-0.002249471953837201,0.0015040238,0.027587890625,0.24987506866455078,-1.608593475818634,0.1
52,310,16384,4,-0.05730759724974632,30,7.375e-05,0.002750111074419692,0.23737994736991821,-0.00576905014750082,0.001248931,0.067333984375,0.4839456081390381,-1.604303041100502,0.1
69,296,20480,5,-0.05205220729112625,40,6.500000000000001e-05,0.0021287273179041223,0.2517419911082834,-0.0030114571505691855,0.0015988695,0.0210693359375,0.5206392705440521,-1.6009648203849793,0.1
85,287,24576,6,-0.05720551684498787,50,5.625e-05,0.0018195982614997775,0.2519828499248251,-0.005363252741517499,0.00206966,0.054638671875,0.5182661712169647,-1.5918039679527283,0.1
102,281,28672,7,-0.05365128442645073,60,4.75e-05,0.0013976692469441331,0.29228294929023835,-0.003595166397280991,0.002688553,0.00830078125,0.5130240321159363,-1.5861760973930359,0.1
118,276,32768,8,-0.05298744887113571,70,3.875e-05,0.001298729795962572,0.3074197553098202,-0.004043197515420616,0.002940184,0.02626953125,0.4960823655128479,-1.566489589214325,0.1
2,1516,36864,1,-0.05116023123264313,80,3e-05,0.001139966188929975,0.3237278666347265,-0.0028356379159959035,0.0018836977,0.0049072265625,0.4807072877883911,-1.5487716883420943,0.1
19,426,40960,2,152.34718322753906,90,6.062500000000001e-05,683.7573257446289,-90.19797299779486,0.020436460495693608,0.027596433,0.3662353515625,0.0033416152000427246,-1.566708940267563,0.1
35,343,45056,3,192.40054321289062,100,5.625e-05,806.5516693115235,-143.9739410853386,0.0019473129708785565,0.0017598378,0.0875732421875,-0.012408256530761719,-1.5987225949764252,0.1
52,312,49152,4,198.56521606445312,110,5.1875e-05,844.5480087280273,-145.5983742570877,0.00012001142313238234,0.00010398889,0.0,-0.0010633468627929688,-1.599529606103897,0.1
