raw/gen/time/iterations,raw/gen/time/time_elapsed,raw/gen/time/total_timesteps,raw/gen/time/fps,raw/gen/train/clip_fraction,raw/gen/train/learning_rate,raw/gen/train/n_updates,raw/gen/rollout/ep_rew_wrapped_mean,raw/gen/train/explained_variance,raw/gen/train/policy_gradient_loss,raw/gen/train/clip_range,raw/gen/train/loss,raw/gen/train/approx_kl,raw/gen/train/entropy_loss,raw/gen/train/value_loss
1,3,4096,1305,,,,,,,,,,,
2,13,8192,611,0.0,0.00019500000000000002,5,-1.9091607459413353,-0.2978614568710327,-0.0006348685128614306,0.1,-0.011297652497887611,0.0004273482,-1.609303268790245,0.017395371058955788
3,23,12288,528,0.01201171875,0.00019,10,-1.9005793130770325,0.18756520748138428,-0.0006526967859826982,0.1,-0.01429816335439682,0.0009447831,-1.60757876932621,0.017942280741408467
4,33,16384,489,0.100927734375,0.000185,15,-1.8944175614602863,0.2135530710220337,-0.0031217432231642308,0.1,-0.019216271117329597,0.0026501166,-1.6022027790546418,0.014331821305677294
5,43,20480,470,0.1359375,0.00018,20,-1.8671375310048461,0.451953649520874,-0.0039702777226921174,0.1,-0.016648802906274796,0.0044887345,-1.5859584212303162,0.011322839232161642
6,53,24576,458,0.134619140625,0.00017500000000000003,25,-1.8539368982054294,0.6662727892398834,-0.004852274991571903,0.1,-0.01712111011147499,0.0033690264,-1.5675452530384064,0.009887968085240572
7,63,28672,449,0.08212890625,0.00017,30,-1.8425071463920175,0.7311338186264038,-0.00406342264614068,0.1,-0.01671755500137806,0.0023688064,-1.5600646287202835,0.011011521134059876
8,73,32768,443,0.079345703125,0.000165,35,-1.832713090069592,0.7755466550588608,-0.004480891395360231,0.1,-0.023548470810055733,0.0027932816,-1.5469475537538528,0.011168353585526347
9,84,36864,438,0.087353515625,0.00016,40,-1.833684187233448,0.8138099908828735,-0.005664543638704345,0.1,-0.022784477099776268,0.0022146804,-1.5339432179927825,0.011791749042458832
10,94,40960,434,0.094482421875,0.00015500000000000003,45,-1.793657564688474,0.8594510406255722,-0.00405314820818603,0.1,-0.020949264988303185,0.0029067053,-1.492464965581894,0.008351226977538317
11,104,45056,430,0.108154296875,0.00015000000000000001,50,-1.7850449793599545,0.8583926260471344,-0.0055329238879494366,0.1,-0.018403004854917526,0.002700896,-1.4763938426971435,0.012470361054874956
12,115,49152,427,0.0955078125,0.000145,55,-1.7918506463244557,0.9040321558713913,-0.004386085295118391,0.1,-0.02140897884964943,0.002875046,-1.4391279488801956,0.006993936363141984
13,125,53248,425,0.12841796875,0.00014000000000000001,60,-1.781355011984706,0.8782194927334785,-0.0054678817512467505,0.1,-0.02141822874546051,0.0036492795,-1.395582115650177,0.008606278733350337
14,135,57344,422,0.0478515625,0.000135,65,-1.7964286557585,0.9154334515333176,-0.003245156107004732,0.1,-0.017659705132246017,0.0021475875,-1.3881986618041993,0.007561198179610073
15,146,61440,419,0.086865234375,0.00013000000000000002,70,-1.78654541766271,0.8759788200259209,-0.0048484560335055,0.1,-0.022590603679418564,0.002437271,-1.3199697136878967,0.009086198674049228
16,156,65536,417,0.031103515625,0.000125,75,-1.7878675649128855,0.9088082760572433,-0.0028809300623834134,0.1,-0.018389828503131866,0.0013331283,-1.3043849974870683,0.006896732898894697
17,167,69632,415,0.047412109375,0.00012,80,-1.7813163736835123,0.919675812125206,-0.0033311987295746802,0.1,-0.01776484027504921,0.0015988015,-1.2956123739480971,0.007251413096673787
18,178,73728,413,0.02841796875,0.000115,85,-1.7815930691547692,0.9169519245624542,-0.0023851948149967938,0.1,-0.014465546235442162,0.0010197405,-1.288555198907852,0.008160572359338402
19,188,77824,412,0.045751953125,0.00011,90,-1.8002268229797482,0.9312051832675934,-0.0035211418813560157,0.1,-0.0161285437643528,0.001019008,-1.2993482947349548,0.006802654801867902
20,199,81920,411,0.0701171875,0.000105,95,-1.7819339536316692,0.9393320605158806,-0.004815083346329629,0.1,-0.019613659009337425,0.0021357546,-1.2650064200162887,0.006975389528088271
1,3,86016,1090,0.033447265625,0.0001,100,-1.7637284426391124,0.9380050823092461,-0.0031943304231390355,0.1,-0.020061885938048363,0.0014623696,-1.2458544999361039,0.006350931944325566
2,14,90112,568,0.154345703125,0.0001475,105,-13.987629396095873,0.16998565196990967,0.002255636066547595,0.1,0.22102311253547668,0.002971309,-1.2246979176998138,4.56265968978405
3,25,94208,485,0.0654296875,0.000145,110,-20.737547563910486,0.5710994601249695,0.0005350453837309032,0.1,0.6835865378379822,0.0013221959,-1.2595236778259278,5.455216926336289
4,37,98304,442,0.0072265625,0.00014250000000000002,115,-20.610925429612397,0.46634674072265625,0.00010938428458757698,0.1,0.956636369228363,0.0002816681,-1.2676340371370316,5.663223731517792
5,48,102400,419,0.01142578125,0.00014000000000000001,120,-20.46326368674636,0.5140547156333923,-0.0007007615407928824,0.1,0.9358800053596497,0.00088599883,-1.2520061612129212,5.260270780324936
6,60,106496,405,0.0009765625,0.0001375,125,-20.293261265307663,0.5371497869491577,-0.0004565590526908636,0.1,0.975279688835144,0.00015362726,-1.2550373017787932,4.950405162572861
7,71,110592,403,0.017578125,0.000135,130,-20.263546856343748,0.5621159374713898,-0.0005828828376252204,0.1,0.8053224086761475,0.0013072295,-1.2974145054817199,4.360553932189942
8,81,114688,401,0.019775390625,0.0001325,135,-19.937583557367326,0.576013833284378,-0.0015915446332655848,0.1,0.8211813569068909,0.001422341,-1.3172996640205383,4.09660022854805
9,92,118784,399,0.01943359375,0.00013000000000000002,140,-20.14413376733661,0.5851863920688629,-0.0010192915273364634,0.1,0.8638213872909546,0.0011003123,-1.3281910181045533,4.16427206993103
10,102,122880,397,0.002099609375,0.0001275,145,-20.19628890007734,0.5648451447486877,-0.0004288447671569884,0.1,0.6711915135383606,0.0004958638,-1.320463055372238,3.8332296013832092
11,113,126976,396,0.002294921875,0.000125,150,-20.387150207161902,0.6017525792121887,-0.0005865077197086066,0.1,0.7767230868339539,0.0005694224,-1.3074104636907578,3.712135154008865
12,124,131072,396,0.008203125,0.0001225,155,-20.021935156583787,0.6103576719760895,-0.0006411639158613979,0.1,0.6662055253982544,0.0007421879,-1.3368591487407684,3.171707510948181
13,134,135168,395,0.003076171875,0.00012,160,-19.863503201752902,0.5688892304897308,-0.0006128225068096071,0.1,0.6421591639518738,0.00041329797,-1.3246448159217834,3.268330442905426
14,144,139264,395,0.00244140625,0.00011750000000000001,165,-19.7543771392107,0.6190787851810455,-0.0006964750937186182,0.1,0.5210779905319214,0.00032807857,-1.3372091382741929,2.773754757642746
15,155,143360,394,0.013720703125,0.000115,170,-20.026841155141593,0.6043988466262817,-0.0013510194810805842,0.1,0.5776081085205078,0.00093639176,-1.3254492223262786,2.8220312356948853
16,166,147456,393,0.000146484375,0.00011250000000000001,175,-20.137353830635547,0.6191231906414032,-0.00038247883203439413,0.1,0.599881112575531,0.000115327595,-1.3245674163103103,2.7731868445873262
17,177,151552,393,0.008935546875,0.00011,180,-20.1466013610363,0.6514460742473602,-0.0007767031085677445,0.1,0.47903043031692505,0.0012100226,-1.3130032896995545,2.430404993891716
18,188,155648,391,0.002001953125,0.0001075,185,-19.795869453251363,0.6129505932331085,-0.0006265999400056899,0.1,0.5032393932342529,0.00042279437,-1.285968092083931,2.4504095733165743
