raw/disc/n_generated,raw/disc/disc_loss,raw/disc/disc_entropy,raw/disc/disc_acc_expert,raw/disc/disc_proportion_expert_pred,raw/disc/n_expert,raw/disc/disc_acc_gen,raw/disc/disc_proportion_expert_true,raw/disc/disc_acc,raw/disc/global_step
256.0,0.2420511543750763,0.4415466785430908,1.0,1.0,256.0,0.0,0.5,0.5,1
256.0,0.24056372046470642,0.4465150237083435,1.0,1.0,256.0,0.0,0.5,0.5,1
256.0,0.23339703679084778,0.4710102379322052,1.0,1.0,256.0,0.0,0.5,0.5,2
256.0,0.23038440942764282,0.48031309247016907,1.0,1.0,256.0,0.0,0.5,0.5,2
256.0,0.22692933678627014,0.49972617626190186,1.0,1.0,256.0,0.0,0.5,0.5,3
256.0,0.22273793816566467,0.514472484588623,1.0,1.0,256.0,0.0,0.5,0.5,3
256.0,0.22100144624710083,0.529445230960846,1.0,1.0,256.0,0.0,0.5,0.5,4
256.0,0.21411503851413727,0.5500202178955078,1.0,1.0,256.0,0.0,0.5,0.5,4
256.0,0.20825299620628357,0.5664072036743164,1.0,1.0,256.0,0.0,0.5,0.5,5
256.0,0.20297519862651825,0.591276228427887,1.0,1.0,256.0,0.0,0.5,0.5,5
256.0,0.1957208812236786,0.6156410574913025,1.0,1.0,256.0,0.0,0.5,0.5,6
256.0,0.18976403772830963,0.6359073519706726,0.99609375,0.990234375,256.0,0.015625,0.5,0.505859375,6
256.0,0.19014690816402435,0.6532202959060669,0.8828125,0.896484375,256.0,0.08984375,0.5,0.486328125,7
256.0,0.18707722425460815,0.6649581789970398,0.62109375,0.708984375,256.0,0.203125,0.5,0.412109375,7
256.0,0.1857256442308426,0.6679503917694092,0.55078125,0.64453125,256.0,0.26171875,0.5,0.40625,8
256.0,0.1851576566696167,0.66838139295578,0.5078125,0.56640625,256.0,0.375,0.5,0.44140625,8
256.0,0.18749962747097015,0.6664222478866577,0.44921875,0.501953125,256.0,0.4453125,0.5,0.447265625,9
256.0,0.18669594824314117,0.6626074314117432,0.38671875,0.388671875,256.0,0.609375,0.5,0.498046875,9
256.0,0.1889934241771698,0.6631823778152466,0.3515625,0.375,256.0,0.6015625,0.5,0.4765625,10
256.0,0.18621081113815308,0.664966344833374,0.3359375,0.330078125,256.0,0.67578125,0.5,0.505859375,10
