raw/gen/time/iterations,raw/gen/time/fps,raw/gen/time/total_timesteps,raw/gen/time/time_elapsed,raw/gen/train/explained_variance,raw/gen/train/policy_gradient_loss,raw/gen/train/clip_range,raw/gen/train/clip_fraction,raw/gen/train/entropy_loss,raw/gen/train/approx_kl,raw/gen/rollout/ep_rew_wrapped_mean,raw/gen/train/loss,raw/gen/train/n_updates,raw/gen/train/learning_rate,raw/gen/train/value_loss
1,2672,2048,0,,,,,,,,,,,
2,812,4096,5,-0.27612197399139404,-0.0009427882148884236,0.1,0.0,-1.6093596398830414,0.00024536432,-1.899006561259739,-0.014616323634982109,5,0.00018,0.021518661500886084
3,660,6144,9,0.18169385194778442,-0.0010717114782892168,0.1,0.0,-1.6083659648895263,0.0006872661,-1.897777413163567,-0.015164989046752453,10,0.00016,0.027173073031008244
4,598,8192,13,0.390649676322937,-0.002133002248592675,0.1,0.03271484375,-1.604029941558838,0.0022527336,-1.8842748274522212,-0.015154380351305008,15,0.00014000000000000001,0.021896809339523315
5,571,10240,17,0.48618650436401367,-0.0015922110062092543,0.1,0.01982421875,-1.594714206457138,0.0016349887,-1.868973213545978,-0.016622653231024742,20,0.00012,0.01644591276999563
1,2537,12288,0,0.5710221827030182,-0.0024637759663164614,0.1,0.04169921875,-1.5823191106319427,0.0019810563,-1.8529500083997845,-0.01541915163397789,25,0.0001,0.014681523689068854
2,808,14336,5,0.08618760108947754,0.0002405083505436778,0.1,0.0,-1.571433186531067,0.00022976988,-3.6581823810189964,0.028129123151302338,30,0.00014000000000000001,0.7355472333729267
3,653,16384,9,0.5900773704051971,-0.0006109966023359447,0.1,0.0,-1.5761183977127076,0.00039312625,-5.453938832841813,0.025602055713534355,35,0.00013000000000000002,0.5231530070304871
4,603,18432,13,0.6115635335445404,-0.00114539775531739,0.1,9.765625e-05,-1.5822173058986664,0.0008812615,-7.268538099750876,0.03787459805607796,40,0.00012,0.49332910403609276
5,576,20480,17,0.4868822693824768,-0.0015627818531356752,0.1,0.02314453125,-1.5928482294082642,0.0014034966,-7.407872156351805,0.029410168528556824,45,0.00011,0.37504188194870947
1,2885,22528,0,0.1685183048248291,-0.00020193897653371097,0.1,0.0,-1.5982470750808715,0.00010184114,-7.414017096236348,0.05688265711069107,50,0.0001,0.4689979121088982
