mean/disc/n_expert,mean/disc/disc_proportion_expert_pred,mean/gen/train/approx_kl,mean/gen/time/fps,mean/gen/train/n_updates,mean/disc/disc_proportion_expert_true,mean/gen/train/policy_gradient_loss,mean/disc/disc_acc_expert,mean/disc/disc_entropy,mean/gen/time/time_elapsed,mean/gen/train/explained_variance,mean/gen/time/iterations,mean/gen/time/total_timesteps,mean/gen/train/learning_rate,mean/disc/global_step,mean/gen/train/clip_range,mean/gen/train/value_loss,mean/disc/n_generated,mean/gen/train/clip_fraction,mean/disc/disc_acc,mean/gen/train/entropy_loss,mean/gen/rollout/ep_rew_mean,mean/gen/rollout/ep_len_mean,mean/disc/disc_acc_gen,mean/gen/train/loss,mean/disc/disc_loss,mean/gen/rollout/ep_rew_wrapped_mean
256.0,1.0,0.006209118291735649,1864.0,8.0,0.5,-0.012023624789435416,1.0,0.4517287611961365,0.0,-0.07944846153259277,1.0,512.0,0.0001,1.0,0.2,0.04807573899597628,256.0,0.020751953125,0.5,-1.6070509999990463,-418.18182373046875,45.0,0.0,-0.05263920873403549,1.0169739723205566,
256.0,1.0,0.007589826360344887,2393.0,16.0,0.5,-0.01132813812000677,1.0,0.44549667835235596,0.0,0.064780592918396,1.0,1024.0,0.0001,2.0,0.2,0.027197509494726546,256.0,0.0068359375,0.5,-1.6023028353229165,-450.0,45.0,0.0,-0.034343358129262924,1.0150532722473145,2.2843398202887992
256.0,1.0,0.010021127760410309,2202.0,24.0,0.5,-0.0213336018496193,1.0,0.4523094594478607,0.0,-0.4532599449157715,1.0,1536.0,0.0001,3.0,0.2,0.01648092879622709,256.0,0.081787109375,0.5,-1.5840055048465729,-402.941162109375,45.0,0.0,-0.07037009298801422,1.0204683542251587,2.125463092191653
256.0,1.0,0.006071639247238636,2609.0,32.0,0.5,-0.014530282009218354,1.0,0.45312780141830444,0.0,-0.7466791868209839,1.0,2048.0,0.0001,4.0,0.2,0.008499224131810479,256.0,0.04931640625,0.5,-1.5870019076392055,-422.22222900390625,45.0,0.0,-0.019771838560700417,1.0071897506713867,1.9197007015018779
256.0,1.0,0.010095741599798203,2215.0,40.0,0.5,-0.019089389781584032,1.0,0.45964643359184265,0.0,-0.773586630821228,1.0,2560.0,0.0001,5.0,0.2,0.006042613093086402,256.0,0.09375,0.5,-1.562494520097971,-465.1785583496094,45.0,0.0,-0.023835737258195877,0.9987311363220215,1.7796568349003792
256.0,1.0,0.016150912269949913,2385.0,48.0,0.5,-0.0296227293292759,1.0,0.45419859886169434,0.0,0.14917320013046265,1.0,3072.0,0.0001,6.0,0.2,0.006242897142328729,256.0,0.129150390625,0.5,-1.5298400921747088,-443.3823547363281,45.0,0.0,-0.0779913142323494,1.0213068723678589,1.6220632793847471
256.0,1.0,0.0162346251308918,2926.0,56.0,0.5,-0.031111538359255064,1.0,0.45481765270233154,0.0,0.3019089102745056,1.0,3584.0,0.0001,7.0,0.2,0.0016111283055124659,256.0,0.254150390625,0.5,-1.4387576710432768,-483.5443115234375,45.0,0.0,-0.04998757317662239,0.9923509359359741,1.4553528700078673
256.0,1.0,0.02202175371348858,2832.0,64.0,0.5,-0.03752912922936957,1.0,0.454214483499527,0.0,0.292580246925354,1.0,4096.0,0.0001,8.0,0.2,0.00446145934802189,256.0,0.242431640625,0.5,-1.3483358854427934,-482.967041015625,45.0,0.0,-0.09658732265233994,0.9915352463722229,1.3257492154695187
256.0,1.0,0.015914125367999077,1665.0,72.0,0.5,-0.03009508113245829,1.0,0.4389970898628235,0.0,0.5924901366233826,1.0,4608.0,0.0001,9.0,0.2,0.006910071984748356,256.0,0.2001953125,0.5,-1.2611640496179461,-495.0,45.0,0.0,-0.04146068915724754,0.9545831680297852,1.1809941521835523
256.0,1.0,0.01891927979886532,2915.0,80.0,0.5,-0.028124632386607118,1.0,0.47102320194244385,0.0,0.6246460974216461,1.0,5120.0,0.0001,10.0,0.2,0.005909511854952143,256.0,0.29931640625,0.5,-1.1310983058065176,-517.5,45.0,0.0,0.002050246112048626,0.8922632932662964,1.0194449384696782
256.0,1.0,0.009165279567241669,2924.0,88.0,0.5,-0.024534975775168277,1.0,0.47720780968666077,0.0,0.6296281516551971,1.0,5632.0,0.0001,11.0,0.2,0.007580805855468498,256.0,0.130859375,0.5,-1.1183321736752987,-521.0,45.0,0.0,-0.0037190979346632957,0.8017481565475464,0.7339205983653665
256.0,1.0,0.009070144966244698,2794.0,96.0,0.5,-0.013947313302196562,1.0,0.47053951025009155,0.0,0.7404086589813232,1.0,6144.0,0.0001,12.0,0.2,0.012422270177921746,256.0,0.069091796875,0.5,-1.1071523036807775,-514.5,45.0,0.0,-0.036795567721128464,0.8059413433074951,0.46032645979896186
256.0,1.0,0.0071723307482898235,2742.0,104.0,0.5,-0.016645581141347066,1.0,0.44212672114372253,0.0,0.6451300978660583,1.0,6656.0,0.0001,13.0,0.2,0.01884473047539359,256.0,0.052978515625,0.5,-1.0304597322829068,-522.5,45.0,0.0,-0.047779642045497894,0.895786702632904,0.1828794415295124
256.0,1.0,0.010372370481491089,2634.0,112.0,0.5,-0.021646809786034282,1.0,0.4810546040534973,0.0,0.6943713426589966,1.0,7168.0,0.0001,14.0,0.2,0.025784435245441273,256.0,0.121337890625,0.5,-0.9324642666615546,-516.5,45.0,0.0,-0.026030145585536957,0.7679246664047241,-0.10193335011601448
256.0,1.0,0.0068991477601230145,2951.0,120.0,0.5,-0.013360000877582934,1.0,0.4949091672897339,0.0,0.5850212275981903,1.0,7680.0,0.0001,15.0,0.2,0.025065000547328964,256.0,0.06982421875,0.5,-0.8036587885580957,-516.5,45.0,0.0,-0.04053310304880142,0.7550413012504578,-0.4033221374638379
256.0,1.0,0.009320471435785294,2826.0,128.0,0.5,-0.018132398385205306,1.0,0.479335755109787,0.0,0.6277101635932922,1.0,8192.0,0.0001,16.0,0.2,0.0348714041247149,256.0,0.10400390625,0.5,-0.7190577988512814,-492.0,45.0,0.0,-0.03857932984828949,0.7324614524841309,-0.6555383094400168
256.0,1.0,0.004110183101147413,3095.0,136.0,0.5,-0.006075330500607379,1.0,0.4881178140640259,0.0,0.527667909860611,1.0,8704.0,0.0001,17.0,0.2,0.03421210877422709,256.0,0.0205078125,0.5,-0.6294478327035904,-496.5,45.0,0.0,-0.029196418821811676,0.7060776352882385,-0.963248434998095
256.0,0.998046875,0.0042086015455424786,3219.0,144.0,0.5,-0.007951532072183909,1.0,0.4799085259437561,0.0,0.3900398015975952,1.0,9216.0,0.0001,18.0,0.2,0.038997559480776545,256.0,0.04541015625,0.501953125,-0.54912577313371,-504.5,45.0,0.00390625,0.009587307460606098,0.6392391920089722,-1.2409137771651149
256.0,1.0,0.0038773673586547375,3125.0,152.0,0.5,-0.005723766276787501,1.0,0.4796617031097412,0.0,0.3136640787124634,1.0,9728.0,0.0001,19.0,0.2,0.04432259163877461,256.0,0.0234375,0.5,-0.5456250412389636,-508.5,45.0,0.0,-0.0313110426068306,0.6565406322479248,-1.49861707855016
256.0,1.0,0.0035488284192979336,3063.0,160.0,0.5,-0.013354568531212863,1.0,0.4955648183822632,0.0,0.25669950246810913,1.0,10240.0,0.0001,20.0,0.2,0.0517059040867025,256.0,0.038330078125,0.5,-0.5584283790085465,-512.0,45.0,0.0,-0.0006468668580055237,0.712544322013855,-1.7998585934937
256.0,0.673828125,0.016725892201066017,2712.0,168.0,0.5,-0.017914692747581284,1.0,0.4792028069496155,0.0,0.5429559051990509,1.0,10752.0,0.0001,21.0,0.2,0.05280551078612916,256.0,0.072021484375,0.826171875,-0.568929664324969,-518.5,45.0,0.65234375,-0.015612931922078133,0.7421789765357971,-2.094432865716517
256.0,0.65234375,0.00570808257907629,2701.0,176.0,0.5,-0.01853515895709279,0.99609375,0.4821145236492157,0.0,0.5948870480060577,1.0,11264.0,0.0001,22.0,0.2,0.0592021560005378,256.0,0.061279296875,0.84375,-0.49657384934835136,-507.0,45.0,0.69140625,0.005592305213212967,0.6499553918838501,-2.384241506867111
256.0,0.60546875,0.0048412661999464035,2704.0,184.0,0.5,-0.017727182945236564,0.98828125,0.4782639443874359,0.0,0.5481022596359253,1.0,11776.0,0.0001,23.0,0.2,0.07295669207815081,256.0,0.05517578125,0.8828125,-0.48013873235322535,-506.0,45.0,0.77734375,-0.007847905158996582,0.5917033553123474,-2.711791579686105
256.0,0.603515625,0.0040166606195271015,2021.0,192.0,0.5,-0.010794018431624863,0.98046875,0.5011621713638306,0.0,0.4021143913269043,1.0,12288.0,0.0001,24.0,0.2,0.07171687412483152,256.0,0.04052734375,0.876953125,-0.44369846396148205,-511.5,45.0,0.7734375,0.013642644509673119,0.5805246233940125,-3.0140329180657863
256.0,0.572265625,0.004227059427648783,2960.0,200.0,0.5,-0.009529546288831625,0.95703125,0.5047999620437622,0.0,0.34026390314102173,1.0,12800.0,0.0001,25.0,0.2,0.06968428107211366,256.0,0.045166015625,0.884765625,-0.4047150139231235,-523.5,45.0,0.8125,0.010707183741033077,0.5839372277259827,-3.3446892529726027
