raw/gen/time/total_timesteps,raw/gen/rollout/ep_len_mean,raw/gen/time/fps,raw/gen/rollout/ep_rew_mean,raw/gen/time/iterations,raw/gen/time/time_elapsed,raw/gen/rollout/ep_rew_wrapped_mean,raw/gen/train/learning_rate,raw/gen/train/explained_variance,raw/gen/train/approx_kl,raw/gen/train/clip_range,raw/gen/train/clip_fraction,raw/gen/train/loss,raw/gen/train/entropy_loss,raw/gen/train/n_updates,raw/gen/train/value_loss,raw/gen/train/policy_gradient_loss
512,45.0,1864,-418.18182373046875,1,0,,,,,,,,,,,
1024,45.0,2393,-450.0,1,0,2.2843398202887992,0.0001,-0.07944846153259277,0.0062091183,0.2,0.020751953125,-0.05263920873403549,-1.6070509999990463,8,0.04807573899597628,-0.012023624789435416
1536,45.0,2202,-402.941162109375,1,0,2.125463092191653,0.0001,0.064780592918396,0.0075898264,0.2,0.0068359375,-0.034343358129262924,-1.6023028353229165,16,0.027197509494726546,-0.01132813812000677
2048,45.0,2609,-422.22222900390625,1,0,1.9197007015018779,0.0001,-0.4532599449157715,0.010021128,0.2,0.081787109375,-0.07037009298801422,-1.5840055048465729,24,0.01648092879622709,-0.0213336018496193
2560,45.0,2215,-465.1785583496094,1,0,1.7796568349003792,0.0001,-0.7466791868209839,0.0060716392,0.2,0.04931640625,-0.019771838560700417,-1.5870019076392055,32,0.008499224131810479,-0.014530282009218354
3072,45.0,2385,-443.3823547363281,1,0,1.6220632793847471,0.0001,-0.773586630821228,0.010095742,0.2,0.09375,-0.023835737258195877,-1.562494520097971,40,0.006042613093086402,-0.019089389781584032
3584,45.0,2926,-483.5443115234375,1,0,1.4553528700078673,0.0001,0.14917320013046265,0.016150912,0.2,0.129150390625,-0.0779913142323494,-1.5298400921747088,48,0.006242897142328729,-0.0296227293292759
4096,45.0,2832,-482.967041015625,1,0,1.3257492154695187,0.0001,0.3019089102745056,0.016234625,0.2,0.254150390625,-0.04998757317662239,-1.4387576710432768,56,0.0016111283055124659,-0.031111538359255064
4608,45.0,1665,-495.0,1,0,1.1809941521835523,0.0001,0.292580246925354,0.022021754,0.2,0.242431640625,-0.09658732265233994,-1.3483358854427934,64,0.00446145934802189,-0.03752912922936957
5120,45.0,2915,-517.5,1,0,1.0194449384696782,0.0001,0.5924901366233826,0.015914125,0.2,0.2001953125,-0.04146068915724754,-1.2611640496179461,72,0.006910071984748356,-0.03009508113245829
