raw/disc/n_generated,raw/disc/disc_acc,raw/disc/disc_proportion_expert_pred,raw/disc/disc_acc_expert,raw/disc/global_step,raw/disc/n_expert,raw/disc/disc_proportion_expert_true,raw/disc/disc_loss,raw/disc/disc_acc_gen,raw/disc/disc_entropy
256.0,0.5,1.0,1.0,1,256.0,0.5,0.9819551110267639,0.0,0.44456374645233154
256.0,0.5,1.0,1.0,1,256.0,0.5,0.9522193670272827,0.0,0.46732649207115173
256.0,0.5,1.0,1.0,2,256.0,0.5,0.9301686882972717,0.0,0.4899619221687317
256.0,0.5,1.0,1.0,2,256.0,0.5,0.9025177359580994,0.0,0.5093939900398254
256.0,0.5,1.0,1.0,3,256.0,0.5,0.8593582510948181,0.0,0.5436605215072632
256.0,0.5,1.0,1.0,3,256.0,0.5,0.8396084308624268,0.0,0.5660331845283508
256.0,0.5,1.0,1.0,4,256.0,0.5,0.801139771938324,0.0,0.5987787246704102
256.0,0.5,1.0,1.0,4,256.0,0.5,0.7581188678741455,0.0,0.6277810335159302
256.0,0.5078125,0.97265625,0.98046875,5,256.0,0.5,0.7454075813293457,0.03515625,0.6490340232849121
256.0,0.513671875,0.919921875,0.93359375,5,256.0,0.5,0.7301865816116333,0.09375,0.6680992841720581
256.0,0.49609375,0.77734375,0.7734375,6,256.0,0.5,0.721127986907959,0.21875,0.6771053075790405
256.0,0.482421875,0.626953125,0.609375,6,256.0,0.5,0.7107405662536621,0.35546875,0.6823708415031433
256.0,0.5546875,0.53125,0.5859375,7,256.0,0.5,0.6897631883621216,0.5234375,0.6805040836334229
256.0,0.44921875,0.26953125,0.21875,7,256.0,0.5,0.670931339263916,0.6796875,0.6732100248336792
256.0,0.53125,0.23828125,0.26953125,8,256.0,0.5,0.6691529750823975,0.79296875,0.6730303764343262
256.0,0.62890625,0.203125,0.33203125,8,256.0,0.5,0.6396265625953674,0.92578125,0.669330358505249
256.0,0.689453125,0.248046875,0.4375,9,256.0,0.5,0.6020060777664185,0.94140625,0.6588437557220459
256.0,0.716796875,0.263671875,0.48046875,9,256.0,0.5,0.5815603137016296,0.953125,0.6500705480575562
256.0,0.681640625,0.294921875,0.4765625,10,256.0,0.5,0.6117404699325562,0.88671875,0.6410964131355286
256.0,0.7421875,0.39453125,0.63671875,10,256.0,0.5,0.5560252070426941,0.84765625,0.6262370944023132
256.0,0.71875,0.3671875,0.5859375,11,256.0,0.5,0.5543321371078491,0.8515625,0.6170564293861389
256.0,0.7578125,0.44140625,0.69921875,11,256.0,0.5,0.5194373726844788,0.81640625,0.5944692492485046
256.0,0.70703125,0.40625,0.61328125,12,256.0,0.5,0.5674983263015747,0.80078125,0.585716962814331
256.0,0.697265625,0.380859375,0.578125,12,256.0,0.5,0.5726523995399475,0.81640625,0.5636590719223022
256.0,0.748046875,0.376953125,0.625,13,256.0,0.5,0.4964923560619354,0.87109375,0.5518659353256226
256.0,0.78125,0.390625,0.671875,13,256.0,0.5,0.4578554034233093,0.890625,0.5322166681289673
256.0,0.740234375,0.419921875,0.66015625,14,256.0,0.5,0.4830092787742615,0.8203125,0.5272894501686096
256.0,0.73046875,0.3828125,0.61328125,14,256.0,0.5,0.47048255801200867,0.84765625,0.5156209468841553
256.0,0.716796875,0.369140625,0.5859375,15,256.0,0.5,0.507029116153717,0.84765625,0.5004113912582397
256.0,0.74609375,0.3515625,0.59765625,15,256.0,0.5,0.46531450748443604,0.89453125,0.48746296763420105
256.0,0.72265625,0.40234375,0.625,16,256.0,0.5,0.5214571952819824,0.8203125,0.49310988187789917
256.0,0.73046875,0.3359375,0.56640625,16,256.0,0.5,0.4551374614238739,0.89453125,0.4896607995033264
256.0,0.712890625,0.357421875,0.5703125,17,256.0,0.5,0.5086119771003723,0.85546875,0.49404215812683105
256.0,0.7421875,0.359375,0.6015625,17,256.0,0.5,0.5021485090255737,0.8828125,0.48516157269477844
256.0,0.73828125,0.3203125,0.55859375,18,256.0,0.5,0.4089685082435608,0.91796875,0.49288561940193176
256.0,0.84375,0.55859375,0.90234375,18,256.0,0.5,0.40876805782318115,0.78515625,0.47534114122390747
256.0,0.81640625,0.59375,0.91015625,19,256.0,0.5,0.4326392114162445,0.72265625,0.4853378236293793
256.0,0.7734375,0.60546875,0.87890625,19,256.0,0.5,0.5253207683563232,0.66796875,0.5074665546417236
256.0,0.84765625,0.546875,0.89453125,20,256.0,0.5,0.3897218704223633,0.80078125,0.4756685495376587
256.0,0.849609375,0.568359375,0.91796875,20,256.0,0.5,0.40688228607177734,0.78125,0.456365704536438
256.0,0.82421875,0.55859375,0.8828125,21,256.0,0.5,0.4838407635688782,0.765625,0.4420100748538971
256.0,0.833984375,0.576171875,0.91015625,21,256.0,0.5,0.4480053186416626,0.7578125,0.4493691325187683
