raw/gen/rollout/ep_rew_mean,raw/gen/time/fps,raw/gen/time/total_timesteps,raw/gen/rollout/ep_len_mean,raw/gen/time/time_elapsed,raw/gen/time/iterations,raw/gen/train/learning_rate,raw/gen/train/entropy_loss,raw/gen/train/loss,raw/gen/train/approx_kl,raw/gen/train/n_updates,raw/gen/train/policy_gradient_loss,raw/gen/train/clip_range,raw/gen/train/value_loss,raw/gen/rollout/ep_rew_wrapped_mean,raw/gen/train/explained_variance,raw/gen/train/clip_fraction
-500.0,1899,512,45.0,0,1,,,,,,,,,,,
-490.9090881347656,2059,1024,45.0,0,1,0.0001,-1.6073766676709056,-0.038431160151958466,0.0051168096,8,-0.013521990760636982,0.2,0.009478072945057647,-0.484903799708594,-7.147263526916504,0.02099609375
-423.5294189453125,2054,1536,45.0,0,1,0.0001,-1.6002961192280054,0.10000035166740417,0.008780389,16,-0.007902353230747394,0.2,0.6812206642935053,-4.4991330330852755,-0.02401125431060791,0.019775390625
-400.0,1755,2048,45.0,0,1,0.0001,-1.5895528979599476,0.867619514465332,0.0028972593,24,-0.004578962027153466,0.2,3.6890677139163017,-9.14995235922363,0.4277784824371338,0.004638671875
-455.3571472167969,2023,2560,45.0,0,1,0.0001,-1.5952506437897682,2.0593173503875732,0.0011598711,32,-0.003286960127297789,0.2,14.53018656000495,-14.728445953917172,0.49045294523239136,0.0
-408.8235168457031,1828,3072,45.0,0,1,0.0001,-1.5987333990633488,7.078176498413086,3.3607706e-05,40,-0.00039280643250094727,0.2,37.7844775095582,-20.50425480316127,0.5598913729190826,0.0
-441.1392517089844,1515,3584,45.0,0,1,0.0001,-1.596959519200027,31.10072898864746,7.3398696e-06,48,-0.0002467595404596068,0.2,94.09981682896614,-27.433182558674805,0.43273818492889404,0.0
-441.20880126953125,2269,4096,45.0,0,1,0.0001,-1.5958947818726301,76.35115051269531,3.7371647e-06,56,-0.00023874128964962438,0.2,217.56906300783157,-34.1882820748783,0.12458813190460205,0.0
-451.5,1949,4608,45.0,0,1,0.0001,-1.5956747848540545,93.5169906616211,4.374888e-06,64,-0.0002914080032496713,0.2,269.60527658462524,-40.92644778456907,0.03830158710479736,0.0
-459.0,1995,5120,45.0,0,1,0.0001,-1.5945030087605119,142.57473754882812,4.505855e-06,72,-0.0002655055795912631,0.2,362.61860632896423,-47.6631926649157,0.014176607131958008,0.0
-454.0,2274,5632,45.0,0,1,0.0001,-1.596026012673974,144.0772247314453,1.5237601e-06,80,-0.00015592887575621717,0.2,299.0440067052841,-57.479667762219904,0.00873708724975586,0.0
-452.0,2256,6144,45.0,0,1,0.0001,-1.5965438317507505,94.71428680419922,1.089531e-06,88,-0.0001159500316134654,0.2,314.30406665802,-67.10334170088171,0.010310471057891846,0.0
-467.5,2223,6656,45.0,0,1,0.0001,-1.595764179714024,119.0875015258789,3.217603e-06,96,-0.00021864396694581956,0.2,305.85639095306396,-74.54604290919379,-0.0008924007415771484,0.0
-490.5,2054,7168,45.0,0,1,0.0001,-1.5954583762213588,178.85670471191406,6.028218e-06,104,-0.00026268231158610433,0.2,383.53583693504333,-81.98083249362186,0.0011003613471984863,0.0
-495.5,2166,7680,45.0,0,1,0.0001,-1.597276546061039,158.6338653564453,4.4549815e-06,112,-0.00028530322742881253,0.2,390.76151609420776,-88.47607945093885,0.0003364682197570801,0.0
-493.0,1941,8192,45.0,0,1,0.0001,-1.5962275732308626,196.63381958007812,7.907744e-06,120,-0.0004272455698810518,0.2,498.17232513427734,-94.04604121519253,0.003122687339782715,0.0
-489.0,2038,8704,45.0,0,1,0.0001,-1.5954811433330178,166.44558715820312,3.150315e-06,128,-0.00024225973538705148,0.2,489.3712737560272,-98.01751859773881,0.00032526254653930664,0.0
-501.5,1622,9216,45.0,0,1,0.0001,-1.5953156109899282,253.7224884033203,7.922528e-06,136,-0.00048300959315383807,0.2,556.4337170124054,-101.41225807018579,0.0002352595329284668,0.0
-502.5,2090,9728,45.0,0,1,0.0001,-1.5947347562760115,259.17919921875,8.51939e-06,144,-0.00034497712476877496,0.2,546.0401945114136,-104.62406640388072,0.0014235973358154297,0.0
-502.5,2236,10240,45.0,0,1,0.0001,-1.5966721512377262,154.87913513183594,9.123702e-06,152,-0.0004619426836143248,0.2,369.5172052383423,-106.61418684074656,0.00013828277587890625,0.0
-505.0,2319,10752,45.0,0,1,0.0001,-1.5955869425088167,245.83737182617188,8.170959e-06,160,-0.00032730179918871727,0.2,464.218558549881,-109.89891100624577,0.0009301304817199707,0.0
-500.0,2204,11264,45.0,0,1,0.0001,-1.595402155071497,187.9001007080078,3.0592433e-05,168,-0.0009699789225123823,0.2,405.04596495628357,-112.82053525101394,0.0005521774291992188,0.0
-493.0,1945,11776,45.0,0,1,0.0001,-1.5968484124168754,199.22543334960938,1.49646075e-05,176,-0.000637833905784646,0.2,485.4376964569092,-115.15357632145286,0.0002657771110534668,0.0
-491.5,2029,12288,45.0,0,1,0.0001,-1.5979270432144403,153.16506958007812,2.5397865e-05,184,-0.0007653716675122268,0.2,427.62229013442993,-116.13002656543627,-8.702278137207031e-06,0.0
-490.0,2107,12800,45.0,0,1,0.0001,-1.5969411954283714,199.6289520263672,4.448148e-05,192,-0.0012667068440350704,0.2,563.3069705963135,-118.24912108985707,2.8431415557861328e-05,0.0
-501.0,2095,13312,45.0,0,1,0.0001,-1.5962918372824788,394.7760925292969,4.927779e-05,200,-0.0013853382661181968,0.2,725.0866756439209,-121.2994856741093,0.0003331899642944336,0.0
-501.0,2021,13824,45.0,0,1,0.0001,-1.5956278070807457,260.6491394042969,3.6878046e-05,208,-0.0011220922388019972,0.2,651.8264248371124,-123.8951599167753,0.00026041269302368164,0.0
-487.5,2114,14336,45.0,0,1,0.0001,-1.5957493325695395,208.50830078125,2.478424e-05,216,-0.0008707352681085467,0.2,598.0698366165161,-126.21304152966476,0.0002942085266113281,0.0
-500.0,2283,14848,45.0,0,1,0.0001,-1.5962087642401457,232.53306579589844,4.7601527e-05,224,-0.0012240081414347515,0.2,511.15715742111206,-128.4890026043635,0.0002865791320800781,0.0
-486.5,1433,15360,45.0,0,1,0.0001,-1.5938672861084342,229.33055114746094,0.00014969567,232,-0.0022798149420850677,0.2,435.4691447019577,-129.65696871909313,0.00011157989501953125,0.0
-493.5,1935,15872,45.0,0,1,0.0001,-1.5944803468883038,208.06553649902344,0.00021692459,240,-0.002304739013197832,0.2,440.65504455566406,-129.62848935934716,-3.814697265625e-06,0.0
-500.5,2235,16384,45.0,0,1,0.0001,-1.5919146472588181,279.5319519042969,4.1387742e-05,248,-0.0008154488969012164,0.2,606.5151462554932,-131.5194099565642,-7.152557373046875e-05,0.0
-504.5,2050,16896,45.0,0,1,0.0001,-1.5903152376413345,327.91717529296875,5.000818e-05,256,-0.0010002034687204286,0.2,728.6418242454529,-135.6271310375305,0.0001659393310546875,0.0
-493.0,1872,17408,45.0,0,1,0.0001,-1.5899999029934406,244.61412048339844,0.00013302977,264,-0.002003371737373527,0.2,632.4495716094971,-137.92128327670508,9.375810623168945e-05,0.0
-494.5,2120,17920,45.0,0,1,0.0001,-1.5880807116627693,153.4763641357422,0.00018541643,272,-0.0019546198527677916,0.2,381.69567465782166,-136.0924620806938,7.903575897216797e-05,0.0
-486.0,2122,18432,45.0,0,1,0.0001,-1.58230781275779,117.36865997314453,0.00024248159,280,-0.0019581613305490464,0.2,280.9785420894623,-133.7002624212252,7.194280624389648e-05,0.0
-499.0,2245,18944,45.0,0,1,0.0001,-1.5760875679552555,83.82598876953125,0.00062759453,288,-0.0031039719251566567,0.2,236.2263433933258,-130.5932224860834,-6.520748138427734e-05,0.0
-507.0,2587,19456,45.0,0,1,0.0001,-1.5711734667420387,166.26463317871094,0.0013859089,296,-0.006340288840874564,0.2,310.8450014591217,-129.22204556527083,2.7060508728027344e-05,0.0
-532.0,2285,19968,45.0,0,1,0.0001,-1.5571021065115929,163.90074157714844,0.0012051164,304,-0.004976783427991904,0.2,333.9637076854706,-129.93998042101506,-6.67572021484375e-05,0.0
-508.0,2160,20480,45.0,0,1,0.0001,-1.5394775653257966,219.30630493164062,0.0017761439,312,-0.005589908036199631,0.2,430.6451437473297,-131.63211808583233,-2.2172927856445312e-05,0.0
-513.0,2586,20992,45.0,0,1,0.0001,-1.5036797933280468,82.7984390258789,0.012847748,320,-0.020653573803429026,0.2,245.87581968307495,-127.26497684037312,-7.224082946777344e-05,0.011962890625
