mean/gen/train/n_updates,mean/disc/disc_proportion_expert_true,mean/disc/disc_acc_expert,mean/gen/train/policy_gradient_loss,mean/gen/train/approx_kl,mean/gen/train/value_loss,mean/gen/time/total_timesteps,mean/gen/train/learning_rate,mean/disc/disc_acc,mean/gen/train/explained_variance,mean/gen/train/clip_fraction,mean/disc/disc_acc_gen,mean/gen/time/iterations,mean/disc/disc_proportion_expert_pred,mean/disc/n_generated,mean/disc/global_step,mean/gen/train/loss,mean/gen/train/clip_range,mean/disc/disc_loss,mean/gen/time/time_elapsed,mean/gen/train/entropy_loss,mean/gen/rollout/ep_rew_mean,mean/gen/time/fps,mean/gen/rollout/ep_len_mean,mean/disc/n_expert,mean/disc/disc_entropy,mean/gen/rollout/ep_rew_wrapped_mean
8.0,0.5,1.0,-0.013715707740630023,0.005293087102472782,0.008211123902583495,512.0,0.0001,0.5,-6.4486918449401855,0.02392578125,0.0,1.0,1.0,256.0,1.0,-0.04034287855029106,0.2,0.9830522537231445,0.0,-1.6072845328599215,-500.0,1865.0,45.0,256.0,0.4434104561805725,
16.0,0.5,1.0,-0.01626438358653104,0.012007694691419601,0.016113649173348676,1024.0,0.0001,0.5,-0.4126652479171753,0.0478515625,0.0,1.0,1.0,256.0,2.0,-0.06177457422018051,0.2,0.9783077239990234,0.0,-1.5990865230560303,-481.81817626953125,1696.0,45.0,256.0,0.4559841752052307,-0.40470545095476235
24.0,0.5,1.0,-0.020969429322576616,0.011469172313809395,0.04946657764958218,1536.0,0.0001,0.5,0.2607828378677368,0.066650390625,0.0,1.0,1.0,256.0,3.0,-0.0468587763607502,0.2,0.964666485786438,0.0,-1.5871271584182978,-414.70587158203125,1946.0,45.0,256.0,0.4486925005912781,-0.9010062462396242
32.0,0.5,1.0,-0.022403904680686537,0.011616496369242668,0.09120025429001544,2048.0,0.0001,0.5,0.4011511206626892,0.07666015625,0.0,1.0,1.0,256.0,4.0,-0.034327324479818344,0.2,0.9566627740859985,0.0,-1.5892151603475213,-384.4444580078125,1774.0,45.0,256.0,0.4636085033416748,-1.4822806953726446
40.0,0.5,1.0,-0.014958040315832477,0.010263372212648392,0.13447950867703184,2560.0,0.0001,0.5,0.6068776845932007,0.045654296875,0.0,1.0,1.0,256.0,5.0,0.016026508063077927,0.2,0.9536936283111572,0.0,-1.5727803343906999,-451.78570556640625,1990.0,45.0,256.0,0.4905387759208679,-2.0873512156307696
48.0,0.5,1.0,-0.014654908314696513,0.00969918817281723,0.20605178317055106,3072.0,0.0001,0.5,0.6229462921619415,0.067138671875,0.0,1.0,1.0,256.0,6.0,-0.005180232226848602,0.2,0.9582552909851074,0.0,-1.552066145464778,-423.5294189453125,2094.0,45.0,256.0,0.4944479465484619,-2.63174475762727
56.0,0.5,1.0,-0.013438709269394167,0.010212198831140995,0.34021248249337077,3584.0,0.0001,0.5,0.5790323615074158,0.071533203125,0.0,1.0,1.0,256.0,7.0,0.09369631111621857,0.2,0.9259601831436157,0.0,-1.5273388922214508,-449.3670959472656,1574.0,45.0,256.0,0.5151609182357788,-3.2351466811207286
64.0,0.5,1.0,-0.007288336913916282,0.008336884900927544,0.4179567836690694,4096.0,0.0001,0.5,0.6031299531459808,0.008544921875,0.0,1.0,1.0,256.0,8.0,0.1319054216146469,0.2,0.9252226948738098,0.0,-1.5048039434477687,-450.5494384765625,2412.0,45.0,256.0,0.5300738215446472,-3.8425864668303653
72.0,0.5,1.0,-0.023043974055326544,0.00815525371581316,0.613976844237186,4608.0,0.0001,0.5,0.6009455919265747,0.07958984375,0.0,1.0,1.0,256.0,9.0,0.13313251733779907,0.2,0.9165558815002441,0.0,-1.5077561065554619,-475.0,2218.0,45.0,256.0,0.5406697392463684,-4.517406259141453
80.0,0.5,1.0,-0.014638406959420536,0.012991432100534439,0.8390359976328909,5120.0,0.0001,0.5,0.6250626742839813,0.07763671875,0.0,1.0,1.0,256.0,10.0,0.12553241848945618,0.2,0.9126466512680054,0.0,-1.498733676970005,-483.5,2184.0,45.0,256.0,0.5526118278503418,-5.346291353460401
