mean/gen/time/iterations,mean/gen/train/value_loss,mean/gen/train/n_updates,mean/disc/n_expert,mean/disc/disc_acc_gen,mean/disc/disc_acc,mean/disc/disc_entropy,mean/disc/global_step,mean/gen/train/explained_variance,mean/gen/train/policy_gradient_loss,mean/gen/time/total_timesteps,mean/gen/time/time_elapsed,mean/gen/train/clip_range,mean/gen/train/entropy_loss,mean/gen/rollout/ep_len_mean,mean/disc/disc_proportion_expert_true,mean/gen/time/fps,mean/disc/disc_loss,mean/gen/train/approx_kl,mean/gen/train/clip_fraction,mean/disc/n_generated,mean/disc/disc_acc_expert,mean/gen/train/loss,mean/gen/train/learning_rate,mean/disc/disc_proportion_expert_pred,mean/gen/rollout/ep_rew_mean,mean/gen/rollout/ep_rew_wrapped_mean
1.0,0.04097889017430134,8.0,256.0,0.0,0.5,0.4297601878643036,1.0,0.12067681550979614,-0.015858577462495305,512.0,0.0,0.2,-1.6071301633492112,45.0,0.5,2017.0,0.998643159866333,0.0066180769354105,0.019775390625,256.0,1.0,-0.02938944846391678,0.0001,1.0,-495.4545593261719,
1.0,0.5602682130411267,16.0,256.0,0.0,0.5,0.4642358422279358,2.0,-0.3416140079498291,-0.018029259117611218,1024.0,0.0,0.2,-1.598172596655786,45.0,0.5,2263.0,0.9359749555587769,0.01348927617073059,0.046630859375,256.0,1.0,0.03557200729846954,0.0001,1.0,-534.0908813476562,2.1918891448188913
1.0,3.291257237549871,24.0,256.0,0.0,0.5,0.5244802236557007,3.0,0.21330589056015015,-0.0063424875916098244,1536.0,0.0,0.2,-1.5836274549365044,45.0,0.5,1791.0,0.8689598441123962,0.004910231102257967,0.001708984375,256.0,1.0,0.3929905891418457,0.0001,1.0,-398.5294189453125,-2.087386109527539
1.0,10.391067462041974,32.0,256.0,0.0,0.498046875,0.5720773935317993,4.0,0.3676624894142151,-0.002183542208513245,2048.0,0.0,0.2,-1.5774914491921663,45.0,0.5,2124.0,0.8039255142211914,0.00090450095012784,0.0,256.0,0.99609375,1.64690101146698,0.0001,0.998046875,-416.6666564941406,-6.894095653065426
1.0,33.332889284938574,40.0,256.0,0.0625,0.505859375,0.6219193935394287,5.0,0.516296774148941,-0.0014584118616767228,2560.0,0.0,0.2,-1.5690164621919394,45.0,0.5,1860.0,0.716780960559845,0.00018039729911834002,0.0,256.0,0.94921875,9.064756393432617,0.0001,0.943359375,-450.8928527832031,-12.067920245023238
1.0,89.51428185403347,48.0,256.0,0.17578125,0.505859375,0.6584106683731079,6.0,0.3952469825744629,-0.0008800391806289554,3072.0,0.0,0.2,-1.5715383002534509,45.0,0.5,1788.0,0.6977667212486267,5.2827177569270134e-05,0.0,256.0,0.8359375,22.554933547973633,0.0001,0.830078125,-422.79412841796875,-18.0066808099925
1.0,247.04213225841522,56.0,256.0,0.5625,0.599609375,0.6669819355010986,7.0,0.1314905881881714,-0.0005969418580207275,3584.0,0.0,0.2,-1.573276435956359,45.0,0.5,1446.0,0.6438655257225037,1.4990218915045261e-05,0.0,256.0,0.63671875,119.54058074951172,0.0001,0.537109375,-429.746826171875,-24.878619735704405
1.0,375.962819814682,64.0,256.0,0.94921875,0.75390625,0.6555648446083069,8.0,0.058010756969451904,-0.00027381021209293976,4096.0,0.0,0.2,-1.5707836225628853,45.0,0.5,1969.0,0.6198790669441223,8.88807699084282e-06,0.0,256.0,0.55859375,124.26557159423828,0.0001,0.3046875,-410.4395751953125,-32.50722973932854
1.0,456.2022531032562,72.0,256.0,0.96875,0.599609375,0.630782961845398,9.0,0.02677386999130249,-0.00015696043192292564,4608.0,0.0,0.2,-1.5742258476093411,45.0,0.5,1963.0,0.6156327128410339,2.3114262148737907e-06,0.0,256.0,0.23046875,207.0554962158203,0.0001,0.130859375,-435.0,-40.63819065262246
1.0,443.4308695793152,80.0,256.0,0.9765625,0.658203125,0.6370714902877808,10.0,0.0175321102142334,-9.692217281553894e-05,5120.0,0.0,0.2,-1.5748584363609552,45.0,0.5,2016.0,0.5682016015052795,1.2185191735625267e-06,0.0,256.0,0.33984375,208.70346069335938,0.0001,0.181640625,-440.0,-48.38416057366878
