raw/disc/disc_acc_expert,raw/disc/n_generated,raw/disc/disc_proportion_expert_true,raw/disc/disc_proportion_expert_pred,raw/disc/n_expert,raw/disc/disc_acc_gen,raw/disc/global_step,raw/disc/disc_entropy,raw/disc/disc_loss,raw/disc/disc_acc
1.0,256.0,0.5,1.0,256.0,0.0,1,0.4362274408340454,0.9982070922851562,0.5
1.0,256.0,0.5,1.0,256.0,0.0,2,0.4772818088531494,0.9279529452323914,0.5
1.0,256.0,0.5,1.0,256.0,0.0,3,0.5393929481506348,0.8726557493209839,0.5
1.0,256.0,0.5,0.998046875,256.0,0.00390625,4,0.5884968042373657,0.8298231959342957,0.501953125
0.88671875,256.0,0.5,0.92578125,256.0,0.03515625,5,0.6313042640686035,0.7829641103744507,0.4609375
0.7578125,256.0,0.5,0.822265625,256.0,0.11328125,6,0.663627028465271,0.7388899326324463,0.435546875
0.58203125,256.0,0.5,0.6875,256.0,0.20703125,7,0.6797903776168823,0.6934093236923218,0.39453125
0.62109375,256.0,0.5,0.390625,256.0,0.83984375,8,0.6791222095489502,0.6544448137283325,0.73046875
0.35546875,256.0,0.5,0.208984375,256.0,0.9375,9,0.6666684150695801,0.6132607460021973,0.646484375
0.54296875,256.0,0.5,0.345703125,256.0,0.8515625,10,0.642234206199646,0.565205991268158,0.697265625
0.63671875,256.0,0.5,0.435546875,256.0,0.765625,11,0.603469967842102,0.5506390333175659,0.701171875
0.71484375,256.0,0.5,0.49609375,256.0,0.72265625,12,0.5419145822525024,0.5155386924743652,0.71875
0.6796875,256.0,0.5,0.4921875,256.0,0.6953125,13,0.47777456045150757,0.5728568434715271,0.6875
0.69140625,256.0,0.5,0.49609375,256.0,0.69921875,14,0.444441020488739,0.571551501750946,0.6953125
0.6640625,256.0,0.5,0.4453125,256.0,0.7734375,15,0.44767701625823975,0.512143075466156,0.71875
0.66796875,256.0,0.5,0.462890625,256.0,0.7421875,16,0.45067375898361206,0.535463273525238,0.705078125
0.62890625,256.0,0.5,0.439453125,256.0,0.75,17,0.46701979637145996,0.5203080773353577,0.689453125
0.6875,256.0,0.5,0.4375,256.0,0.8125,18,0.4855475425720215,0.4449481964111328,0.75
0.68359375,256.0,0.5,0.45703125,256.0,0.76953125,19,0.5049148797988892,0.46440553665161133,0.7265625
0.49609375,256.0,0.5,0.34765625,256.0,0.80078125,20,0.5375752449035645,0.5347930788993835,0.6484375
0.83203125,256.0,0.5,0.525390625,256.0,0.78125,21,0.5386601090431213,0.46262964606285095,0.806640625
0.87890625,256.0,0.5,0.5390625,256.0,0.80078125,22,0.5402079224586487,0.455718070268631,0.83984375
0.84375,256.0,0.5,0.521484375,256.0,0.80078125,23,0.5267845392227173,0.4337072968482971,0.822265625
0.84375,256.0,0.5,0.501953125,256.0,0.83984375,24,0.5284721851348877,0.43137896060943604,0.841796875
0.890625,256.0,0.5,0.5390625,256.0,0.8125,25,0.5115046501159668,0.45260384678840637,0.8515625
0.8984375,256.0,0.5,0.583984375,256.0,0.73046875,26,0.49181675910949707,0.4689883589744568,0.814453125
0.94140625,256.0,0.5,0.595703125,256.0,0.75,27,0.46810728311538696,0.44456931948661804,0.845703125
0.94921875,256.0,0.5,0.587890625,256.0,0.7734375,28,0.4356739819049835,0.4152252674102783,0.861328125
0.95703125,256.0,0.5,0.6328125,256.0,0.69140625,29,0.42672884464263916,0.4741276502609253,0.82421875
0.94140625,256.0,0.5,0.591796875,256.0,0.7578125,30,0.43499088287353516,0.40177905559539795,0.849609375
0.94140625,256.0,0.5,0.609375,256.0,0.72265625,31,0.409864604473114,0.4499369263648987,0.83203125
0.921875,256.0,0.5,0.61328125,256.0,0.6953125,32,0.413341224193573,0.4609360098838806,0.80859375
0.9140625,256.0,0.5,0.576171875,256.0,0.76171875,33,0.38000622391700745,0.39600902795791626,0.837890625
0.625,256.0,0.5,0.37109375,256.0,0.8828125,34,0.36910927295684814,0.44022494554519653,0.75390625
0.6328125,256.0,0.5,0.3984375,256.0,0.8359375,35,0.37056392431259155,0.47109293937683105,0.734375
0.9375,256.0,0.5,0.625,256.0,0.6875,36,0.39093101024627686,0.48570871353149414,0.8125
0.9375,256.0,0.5,0.62890625,256.0,0.6796875,37,0.37500709295272827,0.5699687004089355,0.80859375
0.96484375,256.0,0.5,0.654296875,256.0,0.65625,38,0.3985004723072052,0.497292160987854,0.810546875
0.89453125,256.0,0.5,0.580078125,256.0,0.734375,39,0.41445329785346985,0.4701469838619232,0.814453125
0.88671875,256.0,0.5,0.59375,256.0,0.69921875,40,0.4143352806568146,0.47464942932128906,0.79296875
0.8984375,256.0,0.5,0.5859375,256.0,0.7265625,41,0.4254308342933655,0.44374704360961914,0.8125
0.9140625,256.0,0.5,0.599609375,256.0,0.71484375,42,0.447719931602478,0.4492855966091156,0.814453125
0.8671875,256.0,0.5,0.5625,256.0,0.7421875,43,0.45753589272499084,0.4576370418071747,0.8046875
0.91796875,256.0,0.5,0.626953125,256.0,0.6640625,44,0.47817471623420715,0.4885581433773041,0.791015625
0.9453125,256.0,0.5,0.619140625,256.0,0.70703125,45,0.49243438243865967,0.46786433458328247,0.826171875
0.94921875,256.0,0.5,0.669921875,256.0,0.609375,46,0.48791244626045227,0.5380833148956299,0.779296875
0.92578125,256.0,0.5,0.69140625,256.0,0.54296875,47,0.5312115550041199,0.5161967873573303,0.734375
0.5703125,256.0,0.5,0.376953125,256.0,0.81640625,48,0.5511747002601624,0.5514554977416992,0.693359375
0.6015625,256.0,0.5,0.380859375,256.0,0.83984375,49,0.5384114384651184,0.5344611406326294,0.720703125
0.59375,256.0,0.5,0.412109375,256.0,0.76953125,50,0.5474799275398254,0.6103549003601074,0.681640625
0.5703125,256.0,0.5,0.4296875,256.0,0.7109375,51,0.5191890001296997,0.6536852121353149,0.640625
0.56640625,256.0,0.5,0.453125,256.0,0.66015625,52,0.5353943705558777,0.6590551137924194,0.61328125
0.578125,256.0,0.5,0.408203125,256.0,0.76171875,53,0.527726411819458,0.6335759162902832,0.669921875
0.578125,256.0,0.5,0.439453125,256.0,0.69921875,54,0.5091942548751831,0.6119648218154907,0.638671875
0.53515625,256.0,0.5,0.349609375,256.0,0.8359375,55,0.5101180076599121,0.576086163520813,0.685546875
0.5234375,256.0,0.5,0.32421875,256.0,0.875,56,0.5007838010787964,0.5662763118743896,0.69921875
0.55078125,256.0,0.5,0.33203125,256.0,0.88671875,57,0.5237210988998413,0.534289538860321,0.71875
0.53515625,256.0,0.5,0.330078125,256.0,0.875,58,0.5243469476699829,0.5286325216293335,0.705078125
0.48046875,256.0,0.5,0.28515625,256.0,0.91015625,59,0.5404890775680542,0.5325782299041748,0.6953125
0.5,256.0,0.5,0.291015625,256.0,0.91796875,60,0.5504935383796692,0.5215232968330383,0.708984375
0.5390625,256.0,0.5,0.330078125,256.0,0.87890625,61,0.5722754001617432,0.5345029830932617,0.708984375
0.83203125,256.0,0.5,0.607421875,256.0,0.6171875,62,0.578260600566864,0.5351681113243103,0.724609375
0.84375,256.0,0.5,0.6328125,256.0,0.578125,63,0.5866407155990601,0.5689381957054138,0.7109375
0.875,256.0,0.5,0.650390625,256.0,0.57421875,64,0.580322265625,0.5439300537109375,0.724609375
0.8515625,256.0,0.5,0.671875,256.0,0.5078125,65,0.5881842970848083,0.5888330936431885,0.6796875
0.86328125,256.0,0.5,0.724609375,256.0,0.4140625,66,0.6003583073616028,0.6263608932495117,0.638671875
0.83203125,256.0,0.5,0.732421875,256.0,0.3671875,67,0.6005033254623413,0.661053478717804,0.599609375
0.8203125,256.0,0.5,0.748046875,256.0,0.32421875,68,0.6042518615722656,0.6824852824211121,0.572265625
0.87109375,256.0,0.5,0.763671875,256.0,0.34375,69,0.6087475419044495,0.6581668257713318,0.607421875
0.82421875,256.0,0.5,0.7890625,256.0,0.24609375,70,0.6078861355781555,0.71052086353302,0.53515625
0.51953125,256.0,0.5,0.408203125,256.0,0.703125,71,0.6054550409317017,0.7518523931503296,0.611328125
0.8359375,256.0,0.5,0.783203125,256.0,0.26953125,72,0.6278201341629028,0.7334267497062683,0.552734375
0.7734375,256.0,0.5,0.798828125,256.0,0.17578125,73,0.617436408996582,0.7518893480300903,0.474609375
