subject	block	block_type	trial	p_var	a_var	r_var	r_fix	resp_var	rt	color	lr	mean_alpha	mean_beta	mean_gamma	sd_alpha	sd_beta	sd_gamma
902	1	ado	1	0.5	0.75	65.0	55.0	0	3.4369781000004878	1	-1	1.0032544136047363	1.4969295263290405	2.4908292293548584	0.5767427086830139	1.0579955577850342	1.5182654857635498
902	1	ado	2	0.5	0.5	65.0	11.0	1	1.471269200000279	0	1	1.1029341220855713	0.858513355255127	2.425706386566162	0.5566810369491577	0.7977173328399658	1.5254030227661133
902	1	ado	3	0.5	0.75	65.0	21.0	0	1.439283499999874	0	-1	1.0774314403533936	1.2139763832092285	2.437861204147339	0.5605723261833191	0.713133692741394	1.5208282470703125
902	1	ado	4	0.12999999523162842	0.0	65.0	25.0	0	0.8666604999998526	1	-1	0.8114774227142334	1.1323864459991455	2.55556058883667	0.39800161123275757	0.6807180047035217	1.4891010522842407
902	1	ado	5	0.5	0.75	65.0	5.0	1	7.939758200000142	1	1	0.7888137102127075	0.8485998511314392	2.5949554443359375	0.3746631145477295	0.6387386322021484	1.5000879764556885
902	1	ado	6	0.12999999523162842	0.0	65.0	15.0	0	1.945852100000593	0	-1	0.5909857749938965	0.7420600056648254	2.757638692855835	0.2826228439807892	0.635979175567627	1.4801727533340454
902	1	ado	7	0.5	0.75	65.0	13.0	0	0.6555999000001975	1	-1	0.5906749963760376	0.887002170085907	2.7934601306915283	0.28093504905700684	0.5900081992149353	1.472658634185791
902	1	ado	8	0.12999999523162842	0.0	65.0	6.0	0	2.8773049000001265	1	-1	0.43974608182907104	0.7757601737976074	2.810769557952881	0.26603996753692627	0.6700910329818726	1.508448600769043
902	1	ado	9	0.5	0.5	65.0	5.0	1	0.44555990000026213	1	1	0.4646734595298767	0.7554153203964233	2.997386932373047	0.2291015088558197	0.5532979369163513	1.4406235218048096
902	1	ado	10	0.25	0.0	65.0	5.0	0	0.77996179999991	1	1	0.34452173113822937	0.5752043724060059	2.7180957794189453	0.2873809039592743	0.7702086567878723	1.5674811601638794
902	1	ado	11	0.5	0.75	65.0	47.0	0	0.4883375999997952	0	-1	0.34342291951179504	0.6882650256156921	2.894009590148926	0.24480661749839783	0.6430051326751709	1.4994374513626099
902	1	ado	12	0.5	0.25	65.0	5.0	1	0.4001088000004529	0	1	0.35124504566192627	0.6833439469337463	3.0491371154785156	0.2072712779045105	0.5394793152809143	1.431828260421753
902	1	ado	13	0.5	0.75	65.0	6.0	1	2.6371791999999914	1	-1	0.3603200614452362	0.5761954188346863	3.1154160499572754	0.2002757042646408	0.4984961450099945	1.4141979217529297
902	1	ado	14	0.5	0.75	55.0	47.0	0	0.12878670000009151	1	1	0.36643558740615845	0.6337949633598328	3.223417282104492	0.17176176607608795	0.4046975374221802	1.351776361465454
902	1	ado	15	0.5	0.75	65.0	7.0	0	2.9459286000001157	1	-1	0.3553377687931061	0.7205739617347717	3.139373302459717	0.18362806737422943	0.43611741065979004	1.3844287395477295
902	1	ado	16	0.3799999952316284	0.0	65.0	5.0	1	0.9782512000001589	0	-1	0.36814188957214355	0.7367996573448181	3.2093663215637207	0.15917831659317017	0.36814674735069275	1.3396782875061035
902	1	ado	17	0.3799999952316284	0.0	65.0	6.0	1	0.7699286000006396	0	1	0.37981876730918884	0.7498929500579834	3.259549379348755	0.14113257825374603	0.3152925670146942	1.3063130378723145
902	1	ado	18	0.5	0.75	65.0	8.0	1	3.3690796999999293	0	1	0.38283854722976685	0.676729679107666	3.2704484462738037	0.1410263180732727	0.3006957173347473	1.3026447296142578
902	1	ado	19	0.5	0.75	65.0	25.0	0	1.8086941000001389	1	-1	0.38815557956695557	0.7122330665588379	3.3354716300964355	0.13023868203163147	0.2618195712566376	1.2696657180786133
902	1	ado	20	0.25	0.0	65.0	6.0	1	4.528348699999697	0	-1	0.41233503818511963	0.7380045652389526	3.2695133686065674	0.12411399185657501	0.23931828141212463	1.2747364044189453
902	1	ado	21	0.5	0.75	65.0	9.5	1	1.731235299999753	0	1	0.4139878749847412	0.6863508224487305	3.2686879634857178	0.12413892894983292	0.23085561394691467	1.2735545635223389
902	1	ado	22	0.25	0.0	65.0	7.0	0	2.1422532999995383	0	-1	0.3674655854701996	0.6330666542053223	3.420816421508789	0.12084957212209702	0.25882282853126526	1.2456146478652954
902	1	ado	23	0.5	0.75	65.0	34.0	0	0.9625973000001977	1	1	0.3711521327495575	0.6559177041053772	3.480229377746582	0.10991930961608887	0.2242298424243927	1.2112691402435303
902	1	ado	24	0.5	0.75	65.0	11.0	1	10.022451900000306	1	1	0.3728727400302887	0.6119716763496399	3.4789958000183105	0.11023957282304764	0.2176910787820816	1.2107733488082886
902	1	ado	25	0.5	0.75	65.0	29.0	0	0.598277600000074	1	1	0.3766005337238312	0.6337521076202393	3.532008647918701	0.10262171924114227	0.192987859249115	1.181647777557373
902	1	ado	26	0.3799999952316284	0.0	65.0	9.5	1	3.0473824999999124	0	1	0.3838736414909363	0.6416217684745789	3.5499470233917236	0.096254862844944	0.17443585395812988	1.1680991649627686
902	1	ado	27	0.5	0.75	65.0	15.0	0	2.23037210000075	0	-1	0.38444074988365173	0.6698811650276184	3.5755531787872314	0.09428130090236664	0.16790589690208435	1.156516194343567
902	1	ado	28	0.5	0.75	55.0	5.0	1	8.679357200000595	0	-1	0.3876049220561981	0.6520695686340332	3.630398988723755	0.09015321731567383	0.15488813817501068	1.1283648014068604
902	1	ado	29	0.25	0.0	65.0	8.0	0	3.6128149999995003	0	1	0.3596557676792145	0.6216497421264648	3.7737555503845215	0.08272258192300797	0.1585414707660675	1.0677067041397095
902	1	ado	30	0.3799999952316284	0.0	65.0	11.0	1	3.957655100000011	1	1	0.3663448393344879	0.6291516423225403	3.787158966064453	0.07846033573150635	0.14716313779354095	1.0568339824676514
