subject	block	block_type	trial	t_ss	t_ll	r_ss	r_ll	resp_ss	rt	lr	mean_k	mean_tau	sd_k	sd_tau	mean_log_k	mean_tau_2	sd_log_k	sd_tau_2
902	1	ado	1	0.0	260.0	450.0	800.0	0	10.407722299999477	1	0.0005436565261334181	0.5050967335700989	0.0034602696541696787	0.28859636187553406	-8.660781860351562	0.500045657157898	1.7153304815292358	0.29151472449302673
902	1	ado	2	0.0	520.0	720.0	800.0	1	2.8991416999997455	1	0.001097487867809832	0.5014479160308838	0.005028621293604374	0.2905500829219818	-7.146063804626465	0.4960334599018097	0.9037066698074341	0.2935880720615387
902	1	ado	3	0.0	520.0	560.0	800.0	1	2.180787799999962	-1	0.0017996844835579395	0.5023940801620483	0.007178483065217733	0.2892990708351135	-6.444807529449463	0.49674126505851746	0.5476077795028687	0.2925069034099579
902	1	ado	4	0.0	520.0	450.0	800.0	1	1.9870586999995794	1	0.0023622922599315643	0.5044521689414978	0.009661699645221233	0.28886085748672485	-6.148419380187988	0.49920812249183655	0.42905133962631226	0.29187527298927307
902	1	ado	5	0.0	520.0	380.0	800.0	1	5.264916699999958	1	0.0029251014348119497	0.5041433572769165	0.0134909488260746	0.2895253300666809	-5.969492435455322	0.498897910118103	0.40628162026405334	0.29252320528030396
902	1	ado	6	0.0	520.0	340.0	800.0	1	4.2831492999994225	-1	0.0038395572919398546	0.47231966257095337	0.021849123761057854	0.29703348875045776	-5.84074068069458	0.4656599164009094	0.4943186640739441	0.30014315247535706
902	1	ado	7	0.0	260.0	470.0	800.0	1	5.5034913999998025	1	0.004002404399216175	0.5160702466964722	0.023323409259319305	0.2890247106552124	-5.8277907371521	0.5118584632873535	0.4302738606929779	0.291564017534256
902	1	ado	8	0.0	520.0	310.0	800.0	1	3.9336985999998433	-1	0.015613503754138947	0.09770608693361282	0.07609423249959946	0.09860144555568695	-5.438633918762207	0.09332136809825897	1.1357243061065674	0.09846317023038864
902	1	ado	9	0.0	260.0	400.0	800.0	1	5.135950499999126	-1	0.046196237206459045	0.02347085438668728	0.1372784525156021	0.02179412916302681	-4.716520309448242	0.021665005013346672	1.637729287147522	0.02185320481657982
902	1	ado	10	0.0	104.0	420.0	800.0	0	1.8296200999993744	-1	0.0064369854517281055	0.03035961277782917	0.023539261892437935	0.02282136306166649	-5.361516952514648	0.028482723981142044	0.9637821912765503	0.023282520473003387
902	1	ado	11	0.0	156.0	430.0	800.0	1	6.231968300000517	-1	0.011211128905415535	0.017568357288837433	0.04153783246874809	0.011355404742062092	-5.044435977935791	0.01587783917784691	1.2241030931472778	0.011974110268056393
902	1	ado	12	0.0	104.0	410.0	800.0	0	2.561842799999795	1	0.006218756083399057	0.01981603354215622	0.007449964992702007	0.012514631263911724	-5.212932586669922	0.018412142992019653	0.9739149212837219	0.013090790249407291
902	1	ado	13	0.0	156.0	380.0	800.0	1	2.215180700000019	1	0.008104278706014156	0.015543103218078613	0.012585257180035114	0.01034972257912159	-5.0272216796875	0.013878380879759789	1.1925230026245117	0.010897131636738777
902	1	ado	14	0.0	104.0	390.0	800.0	0	2.5629610000005414	-1	0.006827918346971273	0.016847752034664154	0.003398654982447624	0.011615087278187275	-5.1002631187438965	0.015535276383161545	1.005850076675415	0.012032858096063137
902	1	ado	15	0.0	156.0	340.0	800.0	1	10.43358629999966	1	0.008218970149755478	0.014080080203711987	0.0051229833625257015	0.006856831256300211	-4.97831916809082	0.01234122272580862	1.2573763132095337	0.007916388101875782
902	1	ado	16	0.0	104.0	370.0	800.0	0	2.1245778000002247	1	0.007479231804609299	0.014946912415325642	0.0026158022228628397	0.007441559340804815	-5.016229152679443	0.013600548729300499	1.0731619596481323	0.00828852504491806
902	1	ado	17	0.0	104.0	380.0	800.0	0	1.597760499999822	-1	0.007019267417490482	0.015772448852658272	0.0020412064623087645	0.007950372993946075	-5.0454583168029785	0.014773393981158733	0.9047452211380005	0.008600224740803242
902	1	ado	18	0.0	156.0	450.0	800.0	1	3.6640402000002723	-1	0.007366848643869162	0.01652606762945652	0.002056411001831293	0.00856783613562584	-4.982933044433594	0.015756694599986076	0.7858859300613403	0.009061604738235474
902	1	ado	19	0.0	104.0	360.0	800.0	0	1.688523200000418	-1	0.007082166150212288	0.017401525750756264	0.0017670138040557504	0.008989991620182991	-5.002365589141846	0.01688399165868759	0.6391328573226929	0.009335610084235668
902	1	ado	20	0.0	156.0	460.0	800.0	1	4.237549200000103	1	0.0073209404945373535	0.018292076885700226	0.0017454521730542183	0.009564964100718498	-4.959352970123291	0.01792500540614128	0.5377070307731628	0.009809762239456177
